0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
11,11,"1. 국가보훈대상자(좌동)
2. 농어촌학생
「 」
고등교육법 시행령 제29조 제2항 제14호 ‘가’목에 해당하는 자 중
[지원자격 1] 또는 [지원자격 2]에 해당하는 자
·[지원자격 1]: 중 학교 입학일부터 고등학교 졸업일까지 농어촌
소재지의 중·고등학교 전 교육과정을 연속하여
이수하고, 해당기간 동안 본인 및 부·모 모두
농어촌 소재지에 거주한 자
·[지원자격 2]: 초 등학교 입학일부터 고등학교 졸업일까지 농어촌
소재지의 초·중·고등학교 전 교육과정을 연속하여
이수하고, 해당기간 동안 본인이 농어촌 소재지에
거주한 자
- 특수목적고(과학고, 산업수요맞춤형고, 외국어고, 국제고,
예술고, 체육고), 특성화고<추가>, 학력인정 평생교육시설,
비인가 대안학교, 방송통신고, 고등기술학교, 각종학교<추가>
졸업(예정)자 지원 불가
- 지원자격 해당기간의 연속된 연수만을 인정함
「 」
- ‘ 농어촌 소재지’란 지방자치법 제3조에 따른 읍·면 지역 및
「 」
도서·벽지 교육진흥법시행규칙 제2조에 따른 도서·벽지
지역을 의미함
- 고 교 졸업예정자가 최종 합격할 경우 재학 고등학교의 졸업일
까지 지원자격(농어촌 지역 거주 및 농어촌 지역 고교 재학)을
유지해야 하며, 자격을 유지하지 않을 경우 불합격 또는 입학이
취소될 수 있음
3. 기초생활및차상위
「 」
고등교육법 시행령 제29조 제2항 제14호 ‘라’목에 해당하는 자
「 」
1. 국민기초생활 보장법 제2조 제1호에 따른 수급권자 및
제2조 제2호에 따른 수급자
「 」
2. 국민기초생활 보장법 제2조 제10호에 따른 차상위계층
「 」
3. 한부모가족지원법 제5조 및 제5조의2에 따른 지원대상자",,,,,,,,,,,,,,,,,,,,,
12,종목,2024학년도,2025학년도,,,,,,,,,,,,,,,,,,,,
12,테니스,"·고 교 재학 중 ITF(국제테니스연맹)에서 인정하는
국제대회 또는 전국 규모의 대회에서 4강 이내의
입상실적이 있는 자","·고교 재학 중 다음의 실적을 모두 갖춘 자
- 고 교 재학 중 ITF(국제테니스연맹)에서 인정하는
국제대회 또는 전국 규모의 대회에서 4강 이내의
입상실적이 있는 자
- 고 교 재학 중 전국 규모의 국내대회(대학, 실업), 국제대회의
단체전, 개인전에 3년 이내 25개 대회 이상 출전한 자
※ 전 대회 출전기록 및 수상 성적을 포함한 경기실적증명서
제출 <신설>",,,,,,,,,,,,,,,,,,,,
12,육상,"·고교 재학 중 다음 중 하나 이상의 실적이 있는 자
- 고 교 재학 중 전국 규모 대회 1,500m, 5,000m,
10,000m, 3,000m장애물, 10km 종목에서 4위 이내의
입상실적이 있는 자
- 고 교 재학 중 전국 규모 구간 마라톤 대회에서 개인구간
3위 이내의 입상실적이 있는 자(단체 성적 제외)
- 고 교 재학 중 국가대표(올림픽, 세계선수권, 아시안게임), 국가
상비군에(1,500m, 5,000m, 3,000m장애물, 10,000m,
10km) 선발된 자(경보종목 제외)","·고교 재학 중 다음 중 하나 이상의 실적이 있는 자
- 고 교 재학 중 전국 규모 대회 1,500m, 5,000m,
10,000m, 3,000m장애물, 10km 종목에서
3위<변경> 이내의 입상실적이 있는 자
- 고 교 재학 중 전국 규모 구간 마라톤 대회에서 개인구간
3위 이내의 입상실적이 있는 자(단체 성적 제외)
- 고 교 재학 중 국가대표(올림픽, 세계선수권, 아시안게임),
국가대표 후보선수로 (1,500m, 5,000m, 10,000m, 3,000m
장애물, 10km) 선발된 자 (경보종목 제외)",,,,,,,,,,,,,,,,,,,,
12,구분,2024학년도,"·고교 재학 중 다음 중 하나 이상의 실적이 있는 자
- 고 교 재학 중 전국 규모 대회 1,500m, 5,000m,
10,000m, 3,000m장애물, 10km 종목에서 4위 이내의
입상실적이 있는 자
- 고 교 재학 중 전국 규모 구간 마라톤 대회에서 개인구간
3위 이내의 입상실적이 있는 자(단체 성적 제외)
- 고 교 재학 중 국가대표(올림픽, 세계선수권, 아시안게임), 국가
상비군에(1,500m, 5,000m, 3,000m장애물, 10,000m,
10km) 선발된 자(경보종목 제외)",2025학년도,없음,,,,,,,,,,,,,,,,,,
12,모집시기,정원내 6명,수시,정원내 2명,정시 다군,,,,,,,,,,,,,,,,,,
12,12,정원외 130명,수시,정원외 130명,수시,,,,,,,,,,,,,,,,,,
12,전형유형,12,정원외 130명,수시,정원외 130명,,,,,,,,,,,,,,,,,,
12,전형방법,전형유형,12,정원외 130명,수시,,,,,,,,,,,,,,,,,,
13,단과대학,모집단위,계열,"모집인원
(정원내)",학과 및 전공,,,,,,,,,,,,,,,,,,
