Page,0,1,2,3,4,5,6,7,8,9,10,11,12
14,자립지원대상자,"아래 서류 중 1부 (최근 1개월 이내 발급)
-   입소사실확인서 및 아동복지시설 신고증 (사본) 각 1부, 보호종료 확인서 또는 퇴소사실증명서 1부, 조기 보호 
종료사유 및 증빙서류 1부",,,,,,,,,,,
17,구분,개인정보,고유식별정보,,,,,,,,,,
17,수집 항목,"(필수)   이름, 주소, 전화번호, 휴대전화번호, 추가전화번호 (1개), 이메일, 국적, 공통원
서비밀번호, 모집단위, 전형유형, 수험번호, 학교정보 (최종학력구분, 재학/출신 
고교명, 졸업 (예정)연도, 검정고시 정보 등) 
(선택) 추가전화번호 (1~4개), 반환계좌정보 (은행명, 계좌번호, 예금주)","•  주민등록번호, 재외국민과 외국인전형 등의 
경우 외국인등록번호 또는 여권번호",,,,,,,,,,
17,수집 목적,"•  대입 원서접수 및 대입 전형 관리, 합격자의 학적 관리, 합격생 안내 (신입생 새터 등)","•  대입 원서접수, 대입 전형 관리, 합격자의 학적 
관리, 학생 안내",,,,,,,,,,
17,"정보 보유
및
이용기간","•  대학은 수집된 개인정보는 원칙적으로 10년간 보관함. 다만, 다음과 같은 합격자의 
개인정보는 학적 등 학사 행정 관리를 위하여 영구 보관함 
 
:   이름, 주소, 전화번호, 휴대전화번호, 이메일, 국적, 모집단위, 출신고교명, 고교 졸업
일자, 검정고시 정보 (합격일자, 합격지구), 전형구분, 모집단위 (지망학과)","•  대학은 수집된 고유식별정보는 원칙적으로 10
년간 보관함. 다만, 합격자의 고유식별정보는 
학적 등 학사 행정 관리를 위하여 영구 보관함",,,,,,,,,,
17,"5)   개인정보와 고유식별정보 수집 및 이용 
 
대입 원서접수 대행사는 우리대학의 위탁을 받아 대학 원서접수 및 대입 전형을 위하여 아래와 같이 개인정보와 고유식별정보 (고등교육
법시행령 제73조 고유식별정보의 처리에 근거함)를 수집·이용합니다. 대학에 원서를 접수한 수험생은 성균관대학교 입학처 홈페이지
[https://admission.skku.edu]에 게시된 “개인정보처리방침”에서 상세한 내용을 확인하실 수 있습니다.
구분
수집 항목
수집 목적
정보 보유
및
이용기간","개인정보
(필수)   이름, 주소, 전화번호, 휴대전화번호, 추가전화번호 (1개), 이메일, 국적, 공통원
서비밀번호, 모집단위, 전형유형, 수험번호, 학교정보 (최종학력구분, 재학/출신 
고교명, 졸업 (예정)연도, 검정고시 정보 등) 
(선택) 추가전화번호 (1~4개), 반환계좌정보 (은행명, 계좌번호, 예금주)
•  대입 원서접수 및 대입 전형 관리, 합격자의 학적 관리, 합격생 안내 (신입생 새터 등)
•  대학은 수집된 개인정보는 원칙적으로 10년간 보관함. 다만, 다음과 같은 합격자의 
개인정보는 학적 등 학사 행정 관리를 위하여 영구 보관함 
 
:   이름, 주소, 전화번호, 휴대전화번호, 이메일, 국적, 모집단위, 출신고교명, 고교 졸업
일자, 검정고시 정보 (합격일자, 합격지구), 전형구분, 모집단위 (지망학과)","고유식별정보
•  주민등록번호, 재외국민과 외국인전형 등의 
경우 외국인등록번호 또는 여권번호
•  대입 원서접수, 대입 전형 관리, 합격자의 학적 
관리, 학생 안내
•  대학은 수집된 고유식별정보는 원칙적으로 10
년간 보관함. 다만, 합격자의 고유식별정보는 
학적 등 학사 행정 관리를 위하여 영구 보관함",,,,,,,,,,
17,,,,,,,,,,,,,
17,,,,,,,,,,,,,
17,,,,,,,,,,,,,
17,,,,,,,,,,,,,
